id;nuj;nemro_processo_tj;vara;obs
1;task-force transmitter Sapatos;9852;back-end transform;National
2;Brand Personal;60077;Paraíba Corporate;mobile
3;Goiás;37034;calculating Rodovia Branding;pixel reintermediate
4;Fresco application;29989;HDD;Integrated Gostoso Agent
5;Laos Centralized;62788;Cambridgeshire Noruega;Algodão Avon
6;Optimization;32819;Representative deposit;synthesize SMTP
7;Travessa;34737;Pula Amazonas;Ruble back-end
8;EXE copying impactful;89376;archive Loan Dynamic;Chief Travessa
9;castanho;68012;Crianças;Madeira Berkshire Rodovia
10;schemas communities;971;system;Paraná mindshare Genérico
